TP_SEXO,NT_GER,QE_I01,QE_I02,QE_I08
M,56.6,A,D,D
M,60.6,A,D,F
M,64.2,A,D,C
M,59.2,A,D,B
M,34.9,A,D,B
M,43.8,A,D,A
M,39,A,A,B
M,74.7,A,A,G
M,41.4,A,A,E
M,46.9,A,A,D
M,56.4,E,A,A
M,37.8,A,D,C
M,50.5,A,D,B
M,67.6,A,D,B
M,59.1,A,A,E
M,36.3,A,B,C
M,53.9,A,A,E
M,45.9,A,A,D
M,69.1,A,A,C
M,62.8,A,B,F
M,36.5,B,A,A
M,59.9,A,F,B
M,41.9,A,A,C
M,41.4,A,D,B
F,61.7,A,A,C
M,34.9,A,D,B
M,62.3,A,D,D
F,45.9,A,C,D
M,43.8,A,A,F
M,67.7,B,A,B
M,68.1,A,D,B
M,53.6,A,A,E
M,51.1,A,B,E
M,78.1,A,A,D
M,34.7,A,A,D
M,67,A,B,D
M,43.9,A,A,C
M,49.1,A,D,B
F,42.8,B,D,B
M,71.2,A,A,B
M,18.8,A,D,B
F,48.5,A,D,C
M,31.7,A,A,C
F,48.7,A,A,B
M,60.1,A,D,B
M,49.5,A,A,B
M,23.1,A,B,B
F,63.7,A,A,E
F,44.4,A,A,E
M,63.2,B,D,A
M,58.7,A,B,A
M,48.9,A,D,B
F,36.9,A,D,A
F,60.2,A,A,C
M,49.4,A,A,A
M,69.1,A,A,A
M,62.2,A,A,A
F,41.5,A,D,C
M,36.4,A,A,B
M,40.7,A,A,F
M,43.2,A,D,B
M,41.3,A,D,D
M,57.3,A,D,B
M,46,A,D,D
F,41.6,A,D,B
M,42.1,A,A,B
F,38.8,A,A,B
M,43.9,A,A,E
M,30.7,A,D,E
F,38.3,A,A,B
F,52,A,A,B
F,39.8,B,D,B
M,56.9,A,A,G
F,52,B,B,B
M,30.4,A,A,A
M,51.8,A,A,B
M,36.8,A,A,C
F,36.5,B,A,C
M,45.9,A,D,B
F,46.8,A,A,B
F,34.1,A,F,D
F,40.7,A,D,C
M,45.2,A,D,A
F,49.2,A,A,A
F,43.8,A,D,C
F,42,A,D,B
F,36.4,A,D,F
M,31.1,A,F,A
F,45.5,A,D,A
F,35.2,A,D,B
M,46.6,A,A,A
F,46.9,A,D,A
M,44.1,A,D,A
F,41.4,A,B,A
F,32.7,A,D,C
F,34.8,A,A,F
F,48.4,A,D,B
M,54.4,A,A,C
M,36.5,A,A,C
F,38.3,A,A,A
F,44.7,A,D,B
M,47.5,A,B,D
M,57.4,A,D,C
M,35.7,A,A,B
M,29.5,A,D,B
M,44,A,D,B
M,61.4,A,F,D
F,59.9,A,A,E
F,55,A,D,B
M,47.9,A,D,B
M,36.3,A,A,C
M,62.5,A,D,F
M,52.4,A,A,C
M,37.5,A,A,C
M,61.3,A,A,E
M,71,A,A,F
M,49.6,A,D,B
M,39.2,A,A,B
F,68.4,A,D,F
M,43,A,A,F
F,77,A,D,E
M,69,A,A,F
M,80.8,A,A,A
F,37.2,A,A,B
F,60.6,A,D,C
F,49,A,A,B
M,46.3,A,A,E
M,55,A,D,F
M,43.1,A,D,B
M,59.3,A,A,B
M,70.7,A,D,F
M,42.3,A,D,E
F,48.6,A,D,E
M,57.8,A,A,E
M,46.1,A,D,A
M,43.8,A,A,C
M,59.3,A,A,C
F,54.3,A,A,B
F,51.1,A,C,B
M,50.7,A,B,C
M,55.9,A,D,C
M,45.1,A,D,A
F,50.3,A,A,F
F,49.6,A,A,F
F,41.7,A,D,B
M,37.4,A,A,C
F,41.8,A,A,C
M,74.6,A,A,A
M,56.3,A,A,D
M,42.3,A,A,C
M,52.1,A,D,D
F,37.5,A,D,A
M,73.3,A,D,E
M,51.7,A,A,C
M,73.5,A,D,C
M,53.1,A,A,C
M,50.4,A,A,C
M,42.4,B,B,D
M,66.8,B,D,B
M,49.9,A,D,C
M,58,A,D,E
M,58.8,A,D,D
M,79,A,B,B
M,43.8,A,A,F
M,88.6,A,F,F
M,59.1,A,D,D
F,47.4,A,A,E
M,63.1,A,A,C
M,76.8,A,A,F
F,51,A,D,A
F,39.8,E,D,C
M,30.5,A,A,C
M,45.5,A,A,B
F,33.8,A,D,B
M,16.6,A,B,A
F,42.1,B,D,A
M,69.1,A,A,A
M,54.6,A,D,A
M,59.3,A,D,A
M,58.5,A,A,B
M,66.8,A,D,A
M,46.7,A,A,A
M,47.1,A,B,A
M,54.8,A,B,C
F,30.4,B,D,A
F,50.1,A,A,A
M,44.3,A,B,A
M,64.7,A,A,A
F,41.3,A,B,C
M,21.4,B,E,B
F,47.8,A,D,A
F,62.9,A,D,A
M,39.1,B,D,B
M,48.1,A,D,A
M,73.4,B,C,A
F,59.2,B,A,B
M,30,A,A,A
F,53,A,C,E
F,46.9,A,D,A
F,35.3,B,D,A
F,48.9,A,D,A
F,69.3,A,D,A
M,49.3,A,A,E
F,44.2,A,D,A
M,37.9,A,D,A
M,65.3,A,A,B
M,75,A,A,B
M,23.6,B,A,C
M,52.6,A,D,A
M,57.2,A,D,C
M,64,A,C,B
F,51.6,A,B,A
F,37.3,B,A,B
F,65.5,B,A,A
F,29.9,A,D,B
M,67.6,A,B,C
M,47.1,A,A,A
F,54.2,A,B,B
M,33,B,A,D
M,65.2,A,A,D
F,27.7,A,A,B
F,15.3,A,A,C
M,41.4,A,B,B
M,31.6,A,A,A
M,55.4,A,A,C
F,30.3,A,B,A
F,49.5,A,A,C
F,45.6,A,F,C
F,39.5,A,D,A
F,41.9,A,D,A
M,49.2,A,D,B
F,34.9,B,D,B
M,47.9,A,D,A
M,56.4,A,A,A
F,40,A,D,B
M,45.3,A,A,A
F,54.7,A,F,A
M,51.2,A,A,C
F,42.2,A,D,A
F,57.9,A,A,C
F,51.4,A,C,B
M,62.5,A,A,B
F,48.6,A,A,B
M,62.8,A,A,A
F,42.6,A,D,A
M,59.2,A,A,C
F,58.7,A,D,B
M,66.2,A,A,F
M,80.8,A,A,D
M,47,B,D,A
F,40.7,A,A,A
M,54.4,A,A,A
F,48.9,A,A,A
M,52.5,A,A,B
M,34.5,A,D,A
F,41.5,A,D,A
M,45.5,B,D,C
F,64.8,A,A,A
M,29.9,A,E,B
F,38.7,A,A,C
F,59,A,D,A
F,50.4,A,B,B
F,43.7,B,A,A
F,55.2,B,A,A
F,70.7,A,A,A
F,49.2,A,A,A
F,53.5,B,C,A
M,47.4,A,A,A
F,37.4,A,C,B
F,63.3,B,D,A
F,36.8,A,D,B
F,50.2,A,B,A
F,38.5,A,D,A
F,56.7,A,D,A
F,41.6,B,D,A
M,45.3,A,D,A
F,60.1,A,A,C
F,41.6,A,B,A
F,61.9,A,D,A
